,Mouth
2024-02-25 15:57:20,Talking
2024-02-25 15:57:23,Talking
2024-02-25 15:57:26,Talking
2024-02-25 15:57:29,Talking
2024-02-25 15:57:32,Talking
2024-02-25 15:57:35,Talking
2024-02-25 15:57:38,Talking
2024-02-25 15:57:41,Talking
2024-02-25 15:57:44,Talking
2024-02-25 15:57:47,Talking
2024-02-25 15:57:50,Talking
2024-02-25 15:57:53,Talking
2024-02-25 15:57:56,Talking
2024-02-25 15:57:59,Talking
2024-02-25 15:58:02,Talking
2024-02-25 15:58:05,Talking
2024-02-25 15:58:08,Talking
2024-02-25 15:58:11,Talking
2024-02-25 15:58:14,Talking
2024-02-25 15:58:17,Talking
2024-02-25 15:58:20,Talking
2024-02-25 15:58:23,Talking
2024-02-25 15:58:26,Talking
2024-02-25 15:58:29,Talking
2024-02-25 15:58:32,Talking
2024-02-25 15:58:35,Talking
2024-02-25 15:58:38,Talking
2024-02-25 15:58:41,Talking
2024-02-25 15:58:44,Talking
2024-02-25 15:58:47,Talking
2024-02-25 15:58:50,Talking
2024-02-25 15:58:53,Talking
2024-02-25 15:58:56,Talking
2024-02-25 15:58:59,Talking
2024-02-25 15:59:02,Talking
2024-02-25 15:59:05,Talking
2024-02-25 15:59:08,Talking
2024-02-25 15:59:11,Talking
2024-02-25 15:59:14,Talking
2024-02-25 15:59:17,Talking
2024-02-25 15:59:20,Talking
2024-02-25 15:59:23,Talking
2024-02-25 15:59:26,Talking
2024-02-25 15:59:29,Talking
2024-02-25 15:59:32,Talking
2024-02-25 15:59:35,Talking
2024-02-25 15:59:38,Talking
2024-02-25 15:59:41,Closed
2024-02-25 15:59:44,Talking
2024-02-25 15:59:47,Talking
2024-02-25 15:59:50,Talking
2024-02-25 15:59:53,Talking
2024-02-25 15:59:56,Talking
2024-02-25 15:59:59,Talking
2024-02-25 16:00:02,Talking
2024-02-25 16:00:05,Talking
2024-02-25 16:00:08,Talking
2024-02-25 16:00:11,Talking
2024-02-25 16:00:14,Talking
2024-02-25 16:00:17,Talking
2024-02-25 16:00:20,Talking
2024-02-25 16:00:23,Talking
2024-02-25 16:00:26,Talking
2024-02-25 16:00:29,Talking
2024-02-25 16:00:32,Talking
2024-02-25 16:00:35,Talking
2024-02-25 16:00:38,Talking
2024-02-25 16:00:41,Talking
2024-02-25 16:00:44,Talking
2024-02-25 16:00:47,Talking
2024-02-25 16:00:50,Talking
2024-02-25 16:00:53,Talking
2024-02-25 16:00:56,Talking
2024-02-25 16:00:59,Talking
2024-02-25 16:01:02,Talking
2024-02-25 16:01:05,Talking
2024-02-25 16:01:08,Talking
2024-02-25 16:01:11,Talking
2024-02-25 16:01:14,Talking
2024-02-25 16:01:17,Talking
2024-02-25 16:01:20,Talking
2024-02-25 16:01:23,Talking
2024-02-25 16:01:26,Talking
2024-02-25 16:01:29,Talking
2024-02-25 16:01:32,Talking
2024-02-25 16:01:35,Talking
2024-02-25 16:01:38,Talking
2024-02-25 16:01:41,Talking
2024-02-25 16:01:44,Talking
2024-02-25 16:01:47,Talking
2024-02-25 16:01:50,Talking
2024-02-25 16:01:53,Talking
2024-02-25 16:01:56,Talking
2024-02-25 16:01:59,Talking
2024-02-25 16:02:02,Talking
2024-02-25 16:02:05,Talking
2024-02-25 16:02:08,Talking
2024-02-25 16:02:11,Talking
2024-02-25 16:02:14,Talking
2024-02-25 16:02:17,Talking
2024-02-25 16:02:20,Talking
2024-02-25 16:02:23,Talking
2024-02-25 16:02:26,Talking
2024-02-25 16:02:29,Talking
2024-02-25 16:02:32,Talking
2024-02-25 16:02:35,Talking
2024-02-25 16:02:38,Talking
2024-02-25 16:02:41,Talking
2024-02-25 16:02:44,Talking
2024-02-25 16:02:47,Talking
2024-02-25 16:02:50,Talking
2024-02-25 16:02:53,Talking
2024-02-25 16:02:56,Talking
2024-02-25 16:02:59,Talking
2024-02-25 16:03:02,Talking
2024-02-25 16:03:05,Talking
2024-02-25 16:03:08,Talking
2024-02-25 16:03:11,Talking
2024-02-25 16:03:14,Talking
2024-02-25 16:03:17,Talking
2024-02-25 16:03:20,Talking
2024-02-25 16:03:23,Talking
2024-02-25 16:03:26,Talking
2024-02-25 16:03:29,Talking
2024-02-25 16:03:32,Talking
2024-02-25 16:03:35,Talking
2024-02-25 16:03:38,Talking
2024-02-25 16:03:41,Talking
2024-02-25 16:03:44,Talking
2024-02-25 16:03:47,Talking
2024-02-25 16:03:50,Talking
2024-02-25 16:03:53,Talking
2024-02-25 16:03:56,Talking
2024-02-25 16:03:59,Talking
2024-02-25 16:04:02,Talking
2024-02-25 16:04:05,Talking
2024-02-25 16:04:08,Talking
2024-02-25 16:04:11,Talking
2024-02-25 16:04:14,Talking
2024-02-25 16:04:17,Talking
2024-02-25 16:04:20,Talking
2024-02-25 16:04:23,Talking
2024-02-25 16:04:26,Talking
2024-02-25 16:04:29,Talking
2024-02-25 16:04:32,Talking
2024-02-25 16:04:35,Talking
2024-02-25 16:04:38,Talking
2024-02-25 16:04:41,Talking
2024-02-25 16:04:44,Talking
2024-02-25 16:04:47,Talking
2024-02-25 16:04:50,Talking
2024-02-25 16:04:53,Talking
2024-02-25 16:04:56,Talking
2024-02-25 16:04:59,Talking
2024-02-25 16:05:02,Talking
2024-02-25 16:05:05,Talking
2024-02-25 16:05:08,Talking
2024-02-25 16:05:11,Talking
2024-02-25 16:05:14,Talking
2024-02-25 16:05:17,Talking
2024-02-25 16:05:20,Talking
2024-02-25 16:05:23,Talking
2024-02-25 16:05:26,Talking
2024-02-25 16:05:29,Talking
2024-02-25 16:05:32,Talking
2024-02-25 16:05:35,Talking
2024-02-25 16:05:38,Talking
2024-02-25 16:05:41,Talking
2024-02-25 16:05:44,Talking
2024-02-25 16:05:47,Talking
2024-02-25 16:05:50,Talking
2024-02-25 16:05:53,Talking
2024-02-25 16:05:56,Talking
2024-02-25 16:05:59,Talking
2024-02-25 16:06:02,Talking
2024-02-25 16:06:05,Talking
2024-02-25 16:06:08,Talking
2024-02-25 16:06:11,Talking
2024-02-25 16:06:14,Talking
2024-02-25 16:06:17,Talking
2024-02-25 16:06:20,Talking
2024-02-25 16:06:23,Talking
2024-02-25 16:06:26,Talking
2024-02-25 16:06:29,Talking
2024-02-25 16:06:32,Talking
2024-02-25 16:06:35,Talking
2024-02-25 16:06:38,Talking
2024-02-25 16:06:41,Talking
2024-02-25 16:06:44,Talking
2024-02-25 16:06:47,Talking
2024-02-25 16:06:50,Talking
2024-02-25 16:06:53,Talking
2024-02-25 16:06:56,Talking
2024-02-25 16:06:59,Talking
2024-02-25 16:07:02,Talking
2024-02-25 16:07:05,Talking
2024-02-25 16:07:08,Talking
2024-02-25 16:07:11,Talking
2024-02-25 16:07:14,Talking
2024-02-25 16:07:17,Talking
2024-02-25 16:07:20,Talking
2024-02-25 16:07:23,Talking
2024-02-25 16:07:26,Talking
2024-02-25 16:07:29,Talking
2024-02-25 16:07:32,Talking
2024-02-25 16:07:35,Talking
2024-02-25 16:07:38,Talking
2024-02-25 16:07:41,Talking
2024-02-25 16:07:44,Talking
2024-02-25 16:07:47,Talking
2024-02-25 16:07:50,Talking
2024-02-25 16:07:53,Talking
2024-02-25 16:07:56,Talking
2024-02-25 16:07:59,Talking
2024-02-25 16:08:02,Talking
2024-02-25 16:08:05,Talking
2024-02-25 16:08:08,Talking
2024-02-25 16:08:11,Talking
2024-02-25 16:08:14,Talking
2024-02-25 16:08:17,Talking
2024-02-25 16:08:20,Talking
2024-02-25 16:08:23,Talking
2024-02-25 16:08:26,Talking
2024-02-25 16:08:29,Talking
2024-02-25 16:08:32,Talking
2024-02-25 16:08:35,Talking
2024-02-25 16:08:38,Talking
2024-02-25 16:08:41,Talking
2024-02-25 16:08:44,Talking
2024-02-25 16:08:47,Talking
2024-02-25 16:08:50,Talking
2024-02-25 16:08:53,Talking
2024-02-25 16:08:56,Talking
2024-02-25 16:08:59,Talking
2024-02-25 16:09:02,Talking
2024-02-25 16:09:05,Talking
2024-02-25 16:09:08,Talking
2024-02-25 16:09:11,Talking
2024-02-25 16:09:14,Talking
2024-02-25 16:09:17,Talking
2024-02-25 16:09:20,Talking
2024-02-25 16:09:23,Talking
2024-02-25 16:09:26,Talking
2024-02-25 16:09:29,Talking
2024-02-25 16:09:32,Talking
2024-02-25 16:09:35,Talking
2024-02-25 16:09:38,Talking
2024-02-25 16:09:41,Talking
2024-02-25 16:09:44,Talking
2024-02-25 16:09:47,Talking
2024-02-25 16:09:50,Talking
2024-02-25 16:09:53,Talking
2024-02-25 16:09:56,Talking
2024-02-25 16:09:59,Talking
2024-02-25 16:10:02,Talking
2024-02-25 16:10:05,Talking
2024-02-25 16:10:08,Talking
2024-02-25 16:10:11,Talking
2024-02-25 16:10:14,Talking
2024-02-25 16:10:17,Talking
2024-02-25 16:10:20,Talking
2024-02-25 16:10:23,Talking
2024-02-25 16:10:26,Talking
2024-02-25 16:10:29,Talking
2024-02-25 16:10:32,Talking
2024-02-25 16:10:35,Talking
2024-02-25 16:10:38,Talking
2024-02-25 16:10:41,Talking
2024-02-25 16:10:44,Talking
2024-02-25 16:10:47,Talking
2024-02-25 16:10:50,Talking
2024-02-25 16:10:53,Talking
2024-02-25 16:10:56,Talking
2024-02-25 16:10:59,Talking
2024-02-25 16:11:02,Talking
2024-02-25 16:11:05,Talking
2024-02-25 16:11:08,Talking
2024-02-25 16:11:11,Talking
2024-02-25 16:11:14,Talking
2024-02-25 16:11:17,Talking
2024-02-25 16:11:20,Talking
2024-02-25 16:11:23,Talking
2024-02-25 16:11:26,Talking
2024-02-25 16:11:29,Talking
2024-02-25 16:11:32,Talking
2024-02-25 16:11:35,Talking
2024-02-25 16:11:38,Talking
2024-02-25 16:11:41,Talking
2024-02-25 16:11:44,Talking
2024-02-25 16:11:47,Talking
2024-02-25 16:11:50,Talking
2024-02-25 16:11:53,Talking
2024-02-25 16:11:56,Talking
2024-02-25 16:11:59,Talking
2024-02-25 16:12:02,Talking
2024-02-25 16:12:05,Talking
2024-02-25 16:12:08,Talking
2024-02-25 16:12:11,Talking
2024-02-25 16:12:14,Talking
2024-02-25 16:12:17,Talking
2024-02-25 16:12:20,Talking
2024-02-25 16:12:23,Talking
2024-02-25 16:12:26,Talking
2024-02-25 16:12:29,Talking
2024-02-25 16:12:32,Talking
2024-02-25 16:12:35,Talking
2024-02-25 16:12:38,Talking
2024-02-25 16:12:41,Talking
2024-02-25 16:12:44,Talking
2024-02-25 16:12:47,Talking
2024-02-25 16:12:50,Talking
2024-02-25 16:12:53,Talking
2024-02-25 16:12:56,Talking
2024-02-25 16:12:59,Talking
2024-02-25 16:13:02,Talking
2024-02-25 16:13:05,Talking
2024-02-25 16:13:08,Talking
2024-02-25 16:13:11,Talking
2024-02-25 16:13:14,Talking
2024-02-25 16:13:17,Talking
2024-02-25 16:13:20,Talking
2024-02-25 16:13:23,Talking
2024-02-25 16:13:26,Talking
2024-02-25 16:13:29,Talking
2024-02-25 16:13:32,Talking
2024-02-25 16:13:35,Talking
2024-02-25 16:13:38,Talking
2024-02-25 16:13:41,Talking
2024-02-25 16:13:44,Talking
2024-02-25 16:13:47,Talking
2024-02-25 16:13:50,Talking
2024-02-25 16:13:53,Talking
2024-02-25 16:13:56,Talking
2024-02-25 16:13:59,Talking
2024-02-25 16:14:02,Talking
2024-02-25 16:14:05,Talking
2024-02-25 16:14:08,Talking
2024-02-25 16:14:11,Talking
2024-02-25 16:14:14,Talking
2024-02-25 16:14:17,Talking
2024-02-25 16:14:20,Talking
2024-02-25 16:14:23,Talking
2024-02-25 16:14:26,Talking
2024-02-25 16:14:29,Talking
2024-02-25 16:14:32,Talking
2024-02-25 16:14:35,Talking
2024-02-25 16:14:38,Talking
2024-02-25 16:14:41,Talking
2024-02-25 16:14:44,Talking
2024-02-25 16:14:47,Talking
2024-02-25 16:14:50,Talking
2024-02-25 16:14:53,Talking
2024-02-25 16:14:56,Talking
2024-02-25 16:14:59,Talking
2024-02-25 16:15:02,Talking
2024-02-25 16:15:05,Talking
2024-02-25 16:15:08,Talking
2024-02-25 16:15:11,Talking
2024-02-25 16:15:14,Talking
2024-02-25 16:15:17,Talking
2024-02-25 16:15:20,Talking
2024-02-25 16:15:23,Talking
2024-02-25 16:15:26,Talking
2024-02-25 16:15:29,Talking
2024-02-25 16:15:32,Talking
2024-02-25 16:15:35,Talking
2024-02-25 16:15:38,Talking
2024-02-25 16:15:41,Talking
2024-02-25 16:15:44,Talking
2024-02-25 16:15:47,Talking
2024-02-25 16:15:50,Talking
2024-02-25 16:15:53,Talking
2024-02-25 16:15:56,Talking
2024-02-25 16:15:59,Talking
2024-02-25 16:16:02,Talking
2024-02-25 16:16:05,Talking
2024-02-25 16:16:08,Talking
2024-02-25 16:16:11,Talking
2024-02-25 16:16:14,Talking
2024-02-25 16:16:17,Talking
2024-02-25 16:16:20,Talking
2024-02-25 16:16:23,Talking
2024-02-25 16:16:26,Talking
2024-02-25 16:16:29,Talking
2024-02-25 16:16:32,Talking
2024-02-25 16:16:35,Talking
2024-02-25 16:16:38,Talking
2024-02-25 16:16:41,Talking
2024-02-25 16:16:44,Talking
2024-02-25 16:16:47,Talking
2024-02-25 16:16:50,Talking
2024-02-25 16:16:53,Talking
2024-02-25 16:16:56,Talking
2024-02-25 16:16:59,Talking
2024-02-25 16:17:02,Talking
2024-02-25 16:17:05,Talking
2024-02-25 16:17:08,Talking
2024-02-25 16:17:11,Talking
2024-02-25 16:17:14,Talking
2024-02-25 16:17:17,Talking
2024-02-25 16:17:20,Talking
2024-02-25 16:17:23,Talking
2024-02-25 16:17:26,Talking
2024-02-25 16:17:29,Talking
2024-02-25 16:17:32,Talking
2024-02-25 16:17:35,Talking
2024-02-25 16:17:38,Talking
2024-02-25 16:17:41,Talking
2024-02-25 16:17:44,Talking
2024-02-25 16:17:47,Talking
2024-02-25 16:17:50,Talking
2024-02-25 16:17:53,Talking
2024-02-25 16:17:56,Talking
2024-02-25 16:17:59,Talking
2024-02-25 16:18:02,Talking
2024-02-25 16:18:05,Talking
2024-02-25 16:18:08,Talking
2024-02-25 16:18:11,Talking
2024-02-25 16:18:14,Talking
2024-02-25 16:18:17,Talking
2024-02-25 16:18:20,Talking
2024-02-25 16:18:23,Talking
2024-02-25 16:18:26,Talking
2024-02-25 16:18:29,Talking
2024-02-25 16:18:32,Talking
2024-02-25 16:18:35,Talking
2024-02-25 16:18:38,Talking
2024-02-25 16:18:41,Talking
2024-02-25 16:18:44,Talking
2024-02-25 16:18:47,Talking
2024-02-25 16:18:50,Talking
2024-02-25 16:18:53,Talking
2024-02-25 16:18:56,Talking
2024-02-25 16:18:59,Talking
2024-02-25 16:19:02,Talking
2024-02-25 16:19:05,Talking
2024-02-25 16:19:08,Talking
2024-02-25 16:19:11,Talking
2024-02-25 16:19:14,Talking
2024-02-25 16:19:17,Talking
2024-02-25 16:19:20,Talking
2024-02-25 16:19:23,Talking
2024-02-25 16:19:26,Talking
2024-02-25 16:19:29,Talking
2024-02-25 16:19:32,Talking
2024-02-25 16:19:35,Talking
2024-02-25 16:19:38,Talking
2024-02-25 16:19:41,Talking
2024-02-25 16:19:44,Talking
2024-02-25 16:19:47,Talking
2024-02-25 16:19:50,Talking
2024-02-25 16:19:53,Talking
2024-02-25 16:19:56,Talking
2024-02-25 16:19:59,Talking
2024-02-25 16:20:02,Talking
2024-02-25 16:20:05,Talking
2024-02-25 16:20:08,Talking
2024-02-25 16:20:11,Talking
2024-02-25 16:20:14,Talking
2024-02-25 16:20:17,Talking
2024-02-25 16:20:20,Talking
2024-02-25 16:20:23,Talking
2024-02-25 16:20:26,Talking
2024-02-25 16:20:29,Talking
2024-02-25 16:20:32,Talking
2024-02-25 16:20:35,Talking
2024-02-25 16:20:38,Talking
2024-02-25 16:20:41,Talking
2024-02-25 16:20:44,Talking
2024-02-25 16:20:47,Talking
2024-02-25 16:20:50,Talking
2024-02-25 16:20:53,Talking
2024-02-25 16:20:56,Talking
2024-02-25 16:20:59,Talking
2024-02-25 16:21:02,Talking
2024-02-25 16:21:05,Talking
2024-02-25 16:21:08,Talking
2024-02-25 16:21:11,Talking
2024-02-25 16:21:14,Talking
2024-02-25 16:21:17,Talking
2024-02-25 16:21:20,Talking
2024-02-25 16:21:23,Talking
2024-02-25 16:21:26,Talking
2024-02-25 16:21:29,Talking
2024-02-25 16:21:32,Talking
2024-02-25 16:21:35,Talking
2024-02-25 16:21:38,Talking
2024-02-25 16:21:41,Talking
2024-02-25 16:21:44,Talking
2024-02-25 16:21:47,Talking
2024-02-25 16:21:50,Talking
2024-02-25 16:21:53,Talking
2024-02-25 16:21:56,Talking
2024-02-25 16:21:59,Talking
2024-02-25 16:22:02,Talking
2024-02-25 16:22:05,Talking
2024-02-25 16:22:08,Talking
2024-02-25 16:22:11,Talking
2024-02-25 16:22:14,Talking
2024-02-25 16:22:17,Talking
2024-02-25 16:22:20,Talking
2024-02-25 16:22:23,Talking
2024-02-25 16:22:26,Talking
2024-02-25 16:22:29,Talking
2024-02-25 16:22:32,Talking
2024-02-25 16:22:35,Talking
2024-02-25 16:22:38,Talking
2024-02-25 16:22:41,Talking
2024-02-25 16:22:44,Talking
2024-02-25 16:22:47,Talking
2024-02-25 16:22:50,Talking
2024-02-25 16:22:53,Talking
2024-02-25 16:22:56,Talking
2024-02-25 16:22:59,Talking
2024-02-25 16:23:02,Talking
2024-02-25 16:23:05,Talking
2024-02-25 16:23:08,Talking
2024-02-25 16:23:11,Talking
2024-02-25 16:23:14,Talking
2024-02-25 16:23:17,Talking
2024-02-25 16:23:20,Talking
2024-02-25 16:23:23,Talking
2024-02-25 16:23:26,Talking
2024-02-25 16:23:29,Talking
2024-02-25 16:23:32,Talking
2024-02-25 16:23:35,Talking
2024-02-25 16:23:38,Talking
2024-02-25 16:23:41,Talking
2024-02-25 16:23:44,Talking
2024-02-25 16:23:47,Talking
2024-02-25 16:23:50,Talking
2024-02-25 16:23:53,Talking
2024-02-25 16:23:56,Talking
2024-02-25 16:23:59,Talking
2024-02-25 16:24:02,Talking
2024-02-25 16:24:05,Talking
2024-02-25 16:24:08,Talking
2024-02-25 16:24:11,Talking
2024-02-25 16:24:14,Talking
2024-02-25 16:24:17,Talking
2024-02-25 16:24:20,Talking
2024-02-25 16:24:23,Talking
2024-02-25 16:24:26,Talking
2024-02-25 16:24:29,Talking
2024-02-25 16:24:32,Talking
2024-02-25 16:24:35,Talking
2024-02-25 16:24:38,Talking
2024-02-25 16:24:41,Talking
2024-02-25 16:24:44,Talking
2024-02-25 16:24:47,Talking
2024-02-25 16:24:50,Talking
2024-02-25 16:24:53,Talking
2024-02-25 16:24:56,Talking
2024-02-25 16:24:59,Talking
2024-02-25 16:25:02,Talking
2024-02-25 16:25:05,Talking
2024-02-25 16:25:08,Talking
2024-02-25 16:25:11,Talking
2024-02-25 16:25:14,Talking
2024-02-25 16:25:17,Talking
2024-02-25 16:25:20,Talking
2024-02-25 16:25:23,Talking
2024-02-25 16:25:26,Talking
2024-02-25 16:25:29,Talking
2024-02-25 16:25:32,Talking
2024-02-25 16:25:35,Talking
2024-02-25 16:25:38,Talking
2024-02-25 16:25:41,Talking
2024-02-25 16:25:44,Talking
2024-02-25 16:25:47,Talking
2024-02-25 16:25:50,Talking
2024-02-25 16:25:53,Talking
2024-02-25 16:25:56,Talking
2024-02-25 16:25:59,Talking
2024-02-25 16:26:02,Talking
2024-02-25 16:26:05,Talking
2024-02-25 16:26:08,Talking
2024-02-25 16:26:11,Talking
2024-02-25 16:26:14,Talking
2024-02-25 16:26:17,Talking
2024-02-25 16:26:20,Talking
2024-02-25 16:26:23,Talking
2024-02-25 16:26:26,Talking
2024-02-25 16:26:29,Talking
2024-02-25 16:26:32,Talking
2024-02-25 16:26:35,Talking
2024-02-25 16:26:38,Talking
2024-02-25 16:26:41,Talking
2024-02-25 16:26:44,Talking
2024-02-25 16:26:47,Talking
2024-02-25 16:26:50,Talking
2024-02-25 16:26:53,Talking
2024-02-25 16:26:56,Talking
2024-02-25 16:26:59,Talking
2024-02-25 16:27:02,Talking
2024-02-25 16:27:05,Talking
2024-02-25 16:27:08,Talking
2024-02-25 16:27:11,Talking
2024-02-25 16:27:14,Talking
2024-02-25 16:27:17,Talking
2024-02-25 16:27:20,Talking
2024-02-25 16:27:23,Talking
2024-02-25 16:27:26,Talking
2024-02-25 16:27:29,Talking
2024-02-25 16:27:32,Talking
2024-02-25 16:27:35,Talking
2024-02-25 16:27:38,Talking
2024-02-25 16:27:41,Talking
2024-02-25 16:27:44,Talking
2024-02-25 16:27:47,Talking
2024-02-25 16:27:50,Talking
2024-02-25 16:27:53,Talking
2024-02-25 16:27:56,Talking
2024-02-25 16:27:59,Talking
2024-02-25 16:28:02,Talking
2024-02-25 16:28:05,Talking
2024-02-25 16:28:08,Talking
2024-02-25 16:28:11,Talking
2024-02-25 16:28:14,Talking
2024-02-25 16:28:17,Talking
2024-02-25 16:28:20,Talking
2024-02-25 16:28:23,Talking
2024-02-25 16:28:26,Talking
2024-02-25 16:28:29,Talking
2024-02-25 16:28:32,Talking
2024-02-25 16:28:35,Talking
2024-02-25 16:28:38,Talking
2024-02-25 16:28:41,Talking
2024-02-25 16:28:44,Talking
2024-02-25 16:28:47,Talking
2024-02-25 16:28:50,Talking
2024-02-25 16:28:53,Talking
2024-02-25 16:28:56,Talking
2024-02-25 16:28:59,Talking
2024-02-25 16:29:02,Talking
2024-02-25 16:29:05,Talking
2024-02-25 16:29:08,Talking
2024-02-25 16:29:11,Talking
2024-02-25 16:29:14,Talking
2024-02-25 16:29:17,Talking
2024-02-25 16:29:20,Talking
2024-02-25 16:29:23,Talking
2024-02-25 16:29:26,Talking
2024-02-25 16:29:29,Talking
2024-02-25 16:29:32,Talking
2024-02-25 16:29:35,Talking
2024-02-25 16:29:38,Talking
2024-02-25 16:29:41,Talking
2024-02-25 16:29:44,Talking
2024-02-25 16:29:47,Talking
2024-02-25 16:29:50,Talking
2024-02-25 16:29:53,Talking
2024-02-25 16:29:56,Talking
2024-02-25 16:29:59,Talking
2024-02-25 16:30:02,Talking
2024-02-25 16:30:05,Talking
2024-02-25 16:30:08,Talking
2024-02-25 16:30:11,Talking
2024-02-25 16:30:14,Talking
2024-02-25 16:30:17,Talking
2024-02-25 16:30:20,Talking
2024-02-25 16:30:23,Talking
2024-02-25 16:30:26,Talking
2024-02-25 16:30:29,Talking
2024-02-25 16:30:32,Talking
2024-02-25 16:30:35,Talking
2024-02-25 16:30:38,Talking
2024-02-25 16:30:41,Talking
2024-02-25 16:30:44,Talking
2024-02-25 16:30:47,Talking
2024-02-25 16:30:50,Talking
2024-02-25 16:30:53,Talking
2024-02-25 16:30:56,Talking
2024-02-25 16:30:59,Talking
2024-02-25 16:31:02,Talking
2024-02-25 16:31:05,Talking
2024-02-25 16:31:08,Talking
2024-02-25 16:31:11,Talking
2024-02-25 16:31:14,Talking
2024-02-25 16:31:17,Talking
2024-02-25 16:31:20,Talking
2024-02-25 16:31:23,Talking
2024-02-25 16:31:26,Talking
2024-02-25 16:31:29,Talking
2024-02-25 16:31:32,Talking
2024-02-25 16:31:35,Talking
2024-02-25 16:31:38,Talking
2024-02-25 16:31:41,Talking
2024-02-25 16:31:44,Talking
2024-02-25 16:31:47,Talking
2024-02-25 16:31:50,Talking
2024-02-25 16:31:53,Talking
2024-02-25 16:31:56,Talking
2024-02-25 16:31:59,Talking
2024-02-25 16:32:02,Talking
2024-02-25 16:32:05,Talking
2024-02-25 16:32:08,Talking
2024-02-25 16:32:11,Talking
2024-02-25 16:32:14,Talking
2024-02-25 16:32:17,Talking
2024-02-25 16:32:20,Talking
2024-02-25 16:32:23,Talking
2024-02-25 16:32:26,Talking
2024-02-25 16:32:29,Talking
2024-02-25 16:32:32,Talking
2024-02-25 16:32:35,Talking
2024-02-25 16:32:38,Talking
2024-02-25 16:32:41,Talking
2024-02-25 16:32:44,Talking
2024-02-25 16:32:47,Talking
2024-02-25 16:32:50,Talking
2024-02-25 16:32:53,Talking
2024-02-25 16:32:56,Talking
2024-02-25 16:32:59,Talking
2024-02-25 16:33:02,Talking
2024-02-25 16:33:05,Talking
2024-02-25 16:33:08,Talking
2024-02-25 16:33:11,Talking
2024-02-25 16:33:14,Talking
2024-02-25 16:33:17,Talking
2024-02-25 16:33:20,Talking
2024-02-25 16:33:23,Talking
2024-02-25 16:33:26,Talking
2024-02-25 16:33:29,Talking
2024-02-25 16:33:32,Talking
2024-02-25 16:33:35,Talking
2024-02-25 16:33:38,Talking
2024-02-25 16:33:41,Talking
2024-02-25 16:33:44,Talking
2024-02-25 16:33:47,Talking
2024-02-25 16:33:50,Talking
2024-02-25 16:33:53,Talking
2024-02-25 16:33:56,Talking
2024-02-25 16:33:59,Talking
2024-02-25 16:34:02,Talking
2024-02-25 16:34:05,Talking
2024-02-25 16:34:08,Talking
2024-02-25 16:34:11,Talking
2024-02-25 16:34:14,Talking
2024-02-25 16:34:17,Talking
